"Station","Altona-Elbhang","Billbrook","Finkenwerder West","Flughafen","Hafen/Kl. Grasbrook","Sternschanze","Veddel","Wilhelmsburg"
"Messkomponente","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10"
"Einheit","µg/m³","µg/m³","µg/m³","µg/m³","µg/m³","µg/m³","µg/m³","µg/m³"
"Messzeit","Monatswerte","Monatswerte","Monatswerte","Monatswerte","Monatswerte","Monatswerte","Monatswerte","Monatswerte"

"08.2017","16","17","15","16","17","17","17","15"
"07.2017","15","14","13","14","15","14","15",""
"06.2017","","15","14","16","17","15","15","16"
"05.2017","17","15","15","15","18","15","","15"
"04.2017","17","13","13","12","","13","14","14"
"03.2017","21","17","16","17","22","17","17","18"
"02.2017","31","27","29","28","34","28","31","29"
"01.2017","27","24","28","24","29","27","26","25"
"12.2016","22","19","19","20","23","21","20","20"
"11.2016","18","14","16","16","19","17","16","14"
"10.2016","20","","18","16","19","17","18","16"
"09.2016","24","21","21","20","23","22","22","21"
"08.2016","","14","13","","15","15","14","14"
"07.2016","18","13","14","12","16","16","13","14"
"06.2016","19","14","16","14","","17","16","15"
"05.2016","24","15","17","16","19","18","","17"
"04.2016","20","15","14","15","17","14","18","16"
"03.2016","24","19","17","19","22","18","24","19"
"02.2016","20","13","14","14","17","17","19","14"
"01.2016","29","22","23","26","27","28","30","26"
"12.2015","20","14","15","15","18","19","","16"
"11.2015","18","13","14","14","16","19","19","13"
"10.2015","33","26","27","29","31","34","32","28"
"09.2015","19","","12","15","","16","14","13"
"08.2015","","19","18","20","","23","","18"
"07.2015","","15","15","17","","20","16","19"
"06.2015","","","15","19","","21","19","17"
"05.2015","","","14","13","","16","16","15"
"04.2015","21","19","","","","24","21","22"
"03.2015","22","22","","","","25","","26"
"02.2015","23","22","22","25","","25","28","26"
"01.2015","16","16","17","19","","19","20","20"
"12.2014","18","16","18","","","20","20","19"
"11.2014","25","22","24","25","","28","32","27"
"10.2014","25","20","","22","","27","26","23"
"09.2014","24","22","","23","","27","29","24"
"08.2014","","13","","","","19","","15"
"07.2014","18","17","16","19","","23","21","19"
"06.2014","13","13","","15","","","","16"
"05.2014","13","12","","15","","16","20","15"
"04.2014","22","21","","","","25","","24"
"03.2014","","31","29","31","","33","39","32"
"02.2014","18","18","18","21","","","26","20"
"01.2014","23","23","25","25","","26","","28"
"12.2013","14","15","15","18","","18","20","18"
"11.2013","14","18","14","19","","18","21","18"
"10.2013","17","22","17","20","","21","23","19"
"09.2013","12","13","","14","","15","19","15"
"08.2013","16","18","15","","","22","23","19"
"07.2013","17","19","15","23","","20","24","20"
"06.2013","14","","13","19","","20","21","17"
"05.2013","18","23","","20","","22","24","19"
"04.2013","21","32","20","27","","25","","26"
"03.2013","17","20","21","23","","22","30","23"
"02.2013","21","23","23","26","","26","30","26"
"01.2013","17","17","17","19","","20","22","19"
"12.2012","18","18","18","21","","21","23","18"
"11.2012","18","17","16","20","","19","22","17"
"10.2012","14","14","","16","","17","17","14"
"09.2012","","","12","","","17","17","13"
"08.2012","16","","14","","","19","20","20"
"07.2012","13","18","13","17","","17","18","17"
"06.2012","14","","13","15","","15","17",""
"05.2012","16","","16","18","","19","21","24"
"04.2012","16","19","16","18","","20","19","20"
"03.2012","24","29","25","26","","31","28","30"
"02.2012","20","","22","22","","26","23","24"
"01.2012","22","22","21","21","","28","22","25"
"12.2011","","13","11","12","","16","11","14"
"11.2011","","41","41","42","","52","43","43"
"10.2011","","28","23","24","","31","26","28"
"09.2011","","26","18","20","","26","23","22"
"08.2011","","20","14","16","","20","20",""
"07.2011","","19","13","15","","18","17","16"
"06.2011","","20","14","17","","21","17",""
"05.2011","","27","18","22","","30","23","27"
"04.2011","","31","25","29","","36","32","31"
"03.2011","","","32","","","38","33","35"
"02.2011","","","33","34","","37","32","35"
"01.2011","","21","20","19","","25","","21"
"12.2010","","18","20","19","","23","18","20"
"11.2010","","15","17","17","","19","","19"
"10.2010","","22","21","22","","25","25","24"
"09.2010","","15","15","15","","18","17","16"
"08.2010","","14","","15","","17","16","16"
"07.2010","","19","18","21","","28","23","24"
"06.2010","","18","16","18","","22","21","20"
"05.2010","","15","15","15","","18","17","16"
"04.2010","","24","22","24","","27","26","25"
"03.2010","","24","21","22","","25","25","23"
"02.2010","","26","27","25","","28","27","25"
"01.2010","","38","37","38","","42","37","36"
"12.2009","","19","23","19","","22","20","18"
"11.2009","","18","20","17","","20","17",""
"10.2009","","19","22","17","","21","18","17"
"09.2009","","20","21","16","","23","19","18"
"08.2009","","19","21","17","","22","19","16"
"07.2009","","20","","17","","21","18","15"
"06.2009","","17","18","14","","17","15","23"
"05.2009","","18","18","15","","19","17","23"
"04.2009","","30","33","28","","31","32","35"
"03.2009","","24","26","22","","23","22","24"
"02.2009","","26","28","22","","25","24","26"
"01.2009","","25","28","21","","26","24","28"
"12.2008","","27","31","24","","28","26","31"
"11.2008","","","22","","","21","20","24"
"10.2008","","22","21","","","23","19","23"
"09.2008","","20","18","14","","20","18","19"
"08.2008","","19","","13","","20","17","19"
"07.2008","","21","","15","","19","20","22"
"06.2008","","","20","17","","26","20","26"
"05.2008","","","22","19","","32","25","26"
"04.2008","","","23","20","","23","26","25"
"03.2008","","","18","","","18","18",""
"02.2008","","28","27","23","","","30",""
"01.2008","","26","","19","","28","24",""
"12.2007","","25","28","21","","27","23",""
"11.2007","","25","","20","","","22",""
"10.2007","","","","22","","","","25"
"09.2007","","21","","14","","","18","17"
"08.2007","","25","","19","","","","21"
"07.2007","","22","","15","","21","19","17"
"06.2007","","24","","18","","25","23","21"
"05.2007","","21","","17","","25","21","21"
"04.2007","","","31","22","","40","30","28"
"03.2007","","","32","25","","33","36","27"
"02.2007","","26","31","24","","30","31","26"
"01.2007","","18","","15","","19","16","14"
"12.2006","","19","23","18","","22","20","17"
"11.2006","","19","23","18","","24","20","18"
"10.2006","","23","30","24","","30","27","23"
"09.2006","","32","34","","","36","","27"
"08.2006","","18","","16","","21","21","16"
"07.2006","","22","","23","","34","29","24"
"06.2006","","17","25","19","","26","27","20"
"05.2006","","22","26","22","","","29",""
"04.2006","","20","","20","","29","27","21"
"03.2006","","23","","22","","30","31","26"
"02.2006","","","","22","","28","26","23"
"01.2006","","44","43","38","","46","45","40"
"12.2005","","23","22","20","","27","25","22"
"11.2005","","23","21","19","","26","23","20"
"10.2005","","32","32","27","","37","","28"
"09.2005","","26","24","24","","33","32","23"
"08.2005","","21","18","17","","23","25","20"
"07.2005","","20","16","17","","23","23","19"
"06.2005","","","18","","","26","27","21"
"05.2005","","20","17","","","25","24","20"
"04.2005","","","25","23","","32","31",""
"03.2005","","28","28","27","","33","32","27"
"02.2005","","28","26","","","32","31",""
"01.2005","","23","18","20","","26","27","22"
"12.2004","","26","25","24","","34","29","24"
"11.2004","","22","18","20","","24","22","20"
"10.2004","","","19","19","","25","23","19"
"09.2004","","23","18","18","","24","29","20"
"08.2004","","24","20","19","","26","40","22"
"07.2004","","21","18","16","","19","30","18"
"06.2004","","21","21","18","","23","36","19"
"05.2004","","23","21","19","","25","27","22"
"04.2004","","29","","27","","29","36",""
"03.2004","","28","","25","","30","30","24"
"02.2004","","23","","19","","25","27","22"
